class_output_accuracy,class_output_loss,features_output_loss,loss,val_class_output_accuracy,val_class_output_loss,val_features_output_loss,val_loss,learning_rate
0.5770440101623535,0.6751304268836975,0.008293519727885723,0.6772832274436951,0.7066014409065247,0.6114612817764282,0.006827416364103556,0.6119821071624756,9.999999747378752e-05
0.653563916683197,0.6216921210289001,0.005523986648768187,0.6240841150283813,0.738386332988739,0.5601173639297485,0.005208028480410576,0.561352550983429,9.999999747378752e-05
0.7028301954269409,0.5781860947608948,0.005313046742230654,0.5807093977928162,0.7652812004089355,0.5235781073570251,0.004401425365358591,0.5248203873634338,9.999999747378752e-05
0.7410901188850403,0.5338819622993469,0.00455778231844306,0.536650538444519,0.7726161479949951,0.4832726716995239,0.0042956518009305,0.484619140625,9.999999747378752e-05
0.7631027102470398,0.5032455921173096,0.004069196525961161,0.5061339139938354,0.7872860431671143,0.4699300527572632,0.0041778129525482655,0.4716421961784363,9.999999747378752e-05
0.7767295837402344,0.4758247137069702,0.0038446749094873667,0.4786791205406189,0.7897310256958008,0.47790491580963135,0.004011387936770916,0.4801018238067627,9.999999747378752e-05
0.7835429906845093,0.4490978419780731,0.0034225399140268564,0.45180243253707886,0.7995110154151917,0.4917750358581543,0.0032871721778064966,0.4948539733886719,9.999999747378752e-05
0.7987421154975891,0.4240609109401703,0.0032363433856517076,0.42643097043037415,0.7848410606384277,0.49728938937187195,0.0028045475482940674,0.5005698204040527,9.999999747378752e-05
0.8102725148200989,0.40480101108551025,0.00326127209700644,0.4070597290992737,0.7530562281608582,0.5358127951622009,0.0027932317461818457,0.5400159955024719,9.999999747378752e-05
0.8176100850105286,0.39579588174819946,0.0029864481184631586,0.39795833826065063,0.7310513257980347,0.5277795195579529,0.0029913883190602064,0.5314768552780151,9.999999747378752e-05
0.8197064995765686,0.3873116672039032,0.0028993343003094196,0.3897116482257843,0.7872860431671143,0.4570528566837311,0.002898547565564513,0.4590103030204773,9.999999747378752e-05
0.8317610025405884,0.36724188923835754,0.0026981011033058167,0.36947718262672424,0.8141809105873108,0.39467698335647583,0.0026895813643932343,0.3952675461769104,9.999999747378752e-05
0.8328092098236084,0.3526937663555145,0.002598660532385111,0.35477975010871887,0.7897310256958008,0.42996200919151306,0.0023672999814152718,0.4308096468448639,9.999999747378752e-05
0.8322851061820984,0.3464547097682953,0.002378802513703704,0.34860655665397644,0.7481662631034851,0.525749146938324,0.0025641333777457476,0.5269980430603027,9.999999747378752e-05
0.8364779949188232,0.35085543990135193,0.002347799949347973,0.35313287377357483,0.8361858129501343,0.3940950930118561,0.002220007125288248,0.3949606716632843,9.999999747378752e-05
0.8553459048271179,0.3122042715549469,0.0021554003469645977,0.3142474889755249,0.8312958478927612,0.39988625049591064,0.002201696624979377,0.4006919264793396,9.999999747378752e-05
0.8658280968666077,0.2985207736492157,0.0019791724625974894,0.3004377484321594,0.8361858129501343,0.4027983546257019,0.0020607428159564734,0.4038986265659332,9.999999747378752e-05
0.8784067034721375,0.2882559895515442,0.0018066709162667394,0.29000893235206604,0.8410757780075073,0.39740869402885437,0.0018152942648157477,0.3980300724506378,9.999999747378752e-05
0.8841719031333923,0.2717227041721344,0.0016691971104592085,0.273408442735672,0.8264058828353882,0.41086068749427795,0.0016382469329982996,0.4116686284542084,9.999999747378752e-05
0.8862683176994324,0.26986634731292725,0.001550252316519618,0.2713937759399414,0.8215159177780151,0.44624945521354675,0.0016133715398609638,0.4477337896823883,9.999999747378752e-05
0.8831236958503723,0.2724841237068176,0.0014708028174936771,0.27401551604270935,0.7726161479949951,0.5332298874855042,0.0016132541932165623,0.5357287526130676,9.999999747378752e-05
0.8757861852645874,0.2813539206981659,0.001365330652333796,0.28263306617736816,0.7530562281608582,0.6263154149055481,0.0016854727873578668,0.6310867071151733,9.999999747378752e-05
0.8689727187156677,0.29167941212654114,0.0014043094124644995,0.2934664785861969,0.8019559979438782,0.45012953877449036,0.0014813555171713233,0.4514942467212677,9.999999747378752e-05
0.9088050127029419,0.22518931329250336,0.0013527475530281663,0.2266315519809723,0.8141809105873108,0.43706056475639343,0.001218245131894946,0.43883511424064636,4.999999873689376e-05
0.9198113083839417,0.20336662232875824,0.0012243890669196844,0.20468249917030334,0.8215159177780151,0.4351238012313843,0.0011325132800266147,0.4370536208152771,4.999999873689376e-05
0.9287211894989014,0.18728330731391907,0.0011642613681033254,0.18850010633468628,0.8215159177780151,0.44202396273612976,0.0010650403564795852,0.44422096014022827,4.999999873689376e-05
0.9376310110092163,0.1743430197238922,0.001102221431210637,0.1754811555147171,0.8239609003067017,0.4445842504501343,0.0010263166623190045,0.4467742145061493,4.999999873689376e-05
0.9407756924629211,0.16371382772922516,0.0010591147001832724,0.16477882862091064,0.8166258931159973,0.45778849720954895,0.0009921991731971502,0.4601328372955322,4.999999873689376e-05
